Id,Weekly_Sales
1_1_2012-11-02,31191.181700000005
1_1_2012-11-09,20857.5496
1_1_2012-11-16,19470.907300000003
1_1_2012-11-23,20812.85200000001
1_1_2012-11-30,21756.276700000002
1_1_2012-12-07,50476.149
1_1_2012-12-14,43234.89119999998
1_1_2012-12-21,54238.83
1_1_2012-12-28,20133.476900000012
1_1_2013-01-04,17903.958199999983
1_1_2013-01-11,17603.47139999998
1_1_2013-01-18,18514.521499999995
1_1_2013-01-25,18320.03189999999
1_1_2013-02-01,24383.506000000023
1_1_2013-02-08,40095.222500000025
1_1_2013-02-15,42505.40900000002
1_1_2013-02-22,21430.91639999999
1_1_2013-03-01,21048.2182
1_1_2013-03-08,21722.724299999987
1_1_2013-03-15,20905.599499999964
1_1_2013-03-22,23805.17699999997
1_1_2013-03-29,37965.6733
1_1_2013-04-05,36186.04490000001
1_1_2013-04-12,26371.65450000001
1_1_2013-04-19,21333.81880000001
1_1_2013-04-26,19705.3749
1_1_2013-05-03,27961.12470000001
1_1_2013-05-10,37063.45240000002
1_1_2013-05-17,27330.525200000004
1_1_2013-05-24,24826.5601
1_1_2013-05-31,24673.735700000005
1_1_2013-06-07,25042.751200000006
1_1_2013-06-14,24116.1506
1_1_2013-06-21,24009.95749999999
1_1_2013-06-28,23977.943999999996
1_1_2013-07-05,24205.516599999995
1_1_2013-07-12,24588.9619
1_1_2013-07-19,24498.162899999996
1_1_2013-07-26,24209.75770000001
1_2_2012-11-02,46396.573100000016
1_2_2012-11-09,47264.2482
1_2_2012-11-16,45182.631400000006
1_2_2012-11-23,45088.5041
1_2_2012-11-30,45535.516899999995
1_2_2012-12-07,45824.38410000002
1_2_2012-12-14,51903.961
1_2_2012-12-21,54877.71150000001
1_2_2012-12-28,44957.3925
1_2_2013-01-04,43722.2798
1_2_2013-01-11,44157.88189999995
1_2_2013-01-18,42887.1593
1_2_2013-01-25,42682.458399999996
1_2_2013-02-01,47245.09370000005
1_2_2013-02-08,49263.222200000004
1_2_2013-02-15,48474.6246
1_2_2013-02-22,48609.47429999999
1_2_2013-03-01,46810.098800000014
1_2_2013-03-08,46202.7873
1_2_2013-03-15,45494.68629999999
1_2_2013-03-22,48226.21839999999
1_2_2013-03-29,46752.176000000014
1_2_2013-04-05,47088.86510000001
1_2_2013-04-12,45088.5585
1_2_2013-04-19,44588.502299999986
1_2_2013-04-26,44921.58299999999
1_2_2013-05-03,100182.6819
1_2_2013-05-10,100452.2235
1_2_2013-05-17,100088.18270000002
1_2_2013-05-24,101211.84530000002
1_2_2013-05-31,99872.78549999998
1_2_2013-06-07,99662.34509999998
1_2_2013-06-14,100127.68540000003
1_2_2013-06-21,99754.07510000002
1_2_2013-06-28,99902.85970000003
1_2_2013-07-05,100954.22770000003
1_2_2013-07-12,100386.62050000002
1_2_2013-07-19,99900.93010000001
1_2_2013-07-26,100784.57370000002
1_3_2012-11-02,11067.0985
1_3_2012-11-09,11295.902900000001
1_3_2012-11-16,10803.015800000003
1_3_2012-11-23,9083.256300000001
1_3_2012-11-30,9624.485399999998
1_3_2012-12-07,12510.591799999997
1_3_2012-12-14,10981.778299999994
1_3_2012-12-21,15535.317000000003
1_3_2012-12-28,8327.1806
1_3_2013-01-04,12169.908399999998
1_3_2013-01-11,12413.7449
1_3_2013-01-18,12129.651899999995
1_3_2013-01-25,10945.463499999996
1_3_2013-02-01,10465.091300000002
1_3_2013-02-08,10582.7452
1_3_2013-02-15,10194.584100000002
1_3_2013-02-22,10292.5627
1_3_2013-03-01,9877.8582
1_3_2013-03-08,9550.200199999994
1_3_2013-03-15,8751.266999999994
1_3_2013-03-22,9041.916799999995
1_3_2013-03-29,8768.665499999992
1_3_2013-04-05,8077.1455
1_3_2013-04-12,8034.841299999999
1_3_2013-04-19,7874.703200000001
1_3_2013-04-26,7754.988300000001
1_3_2013-05-03,18202.4344
1_3_2013-05-10,18485.089399999997
1_3_2013-05-17,18466.083999999995
1_3_2013-05-24,16808.657700000003
1_3_2013-05-31,17590.696500000002
1_3_2013-06-07,17608.122
1_3_2013-06-14,18675.894399999997
1_3_2013-06-21,17189.6923
1_3_2013-06-28,15383.719200000001
1_3_2013-07-05,18962.7589
1_3_2013-07-12,41740.012600000024
1_3_2013-07-19,46849.3032
1_3_2013-07-26,45565.59190000001
1_4_2012-11-02,38735.2347
1_4_2012-11-09,38075.81990000002
1_4_2012-11-16,40274.661399999975
1_4_2012-11-23,37417.92720000003
1_4_2012-11-30,37410.90470000002
1_4_2012-12-07,36104.24560000002
1_4_2012-12-14,34522.00060000002
1_4_2012-12-21,37130.695100000026
1_4_2012-12-28,36177.72830000003
1_4_2013-01-04,34866.725999999995
1_4_2013-01-11,34822.165100000006
1_4_2013-01-18,34178.89510000002
1_4_2013-01-25,33789.91250000001
1_4_2013-02-01,40272.731599999985
1_4_2013-02-08,39727.35539999998
1_4_2013-02-15,36917.2995
1_4_2013-02-22,36858.33980000001
1_4_2013-03-01,35701.733700000004
1_4_2013-03-08,38387.63029999999
1_4_2013-03-15,36084.98700000001
1_4_2013-03-22,39960.19409999997
1_4_2013-03-29,39526.732799999976
1_4_2013-04-05,38425.51209999997
1_4_2013-04-12,35689.96639999999
1_4_2013-04-19,37358.82749999999
1_4_2013-04-26,37373.96849999999
1_4_2013-05-03,50529.09269999999
1_4_2013-05-10,51099.28359999999
1_4_2013-05-17,51402.40580000001
1_4_2013-05-24,51870.7166
1_4_2013-05-31,51935.6421
1_4_2013-06-07,51767.8424
1_4_2013-06-14,51998.147700000016
1_4_2013-06-21,52171.32250000001
1_4_2013-06-28,52724.74880000003
1_4_2013-07-05,52148.75640000001
1_4_2013-07-12,52435.75540000001
1_4_2013-07-19,52292.52090000001
1_4_2013-07-26,52326.68240000001
1_5_2012-11-02,26598.6652
1_5_2012-11-09,27526.42840000002
1_5_2012-11-16,27437.437700000006
1_5_2012-11-23,70568.52100000001
1_5_2012-11-30,46531.90619999998
1_5_2012-12-07,48031.50220000002
1_5_2012-12-14,39597.33529999997
1_5_2012-12-21,54410.46710000003
1_5_2012-12-28,31256.395999999993
1_5_2013-01-04,22672.0136
1_5_2013-01-11,22673.414200000003
1_5_2013-01-18,20189.862500000003
1_5_2013-01-25,20486.667299999994
1_5_2013-02-01,28043.907600000013
1_5_2013-02-08,29003.063600000023
1_5_2013-02-15,33854.00980000001
1_5_2013-02-22,29009.403499999993
1_5_2013-03-01,28068.416199999992
1_5_2013-03-08,27207.288099999972
1_5_2013-03-15,26175.629399999987
1_5_2013-03-22,25255.540500000006
1_5_2013-03-29,26757.154799999982
